unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1618876800000.0,2021-04-20 00:00:00,BTC/USD,55686.0,55830.0,54742.0,54796.0,192.46919706000438,10546542.1221
1618790400000.0,2021-04-19 00:00:00,BTC/USD,56239.0,57607.0,54249.0,55686.0,5715.385599870704,318266962.5144
1618704000000.0,2021-04-18 00:00:00,BTC/USD,60051.0,60393.0,49880.0,56239.0,12996.806665915114,730927410.0844
1618617600000.0,2021-04-17 00:00:00,BTC/USD,61411.0,62575.0,59636.0,60051.0,3228.848331994471,193895571.1846
1618531200000.0,2021-04-16 00:00:00,BTC/USD,63233.0,63592.0,60022.0,61411.0,6497.242754571656,399002174.801
1618444800000.0,2021-04-15 00:00:00,BTC/USD,62959.0,63865.0,62013.0,63233.0,3790.5349827985387,239686898.5673
1618358400000.0,2021-04-14 00:00:00,BTC/USD,63587.0,64887.0,61263.0,62959.0,5720.4335442923175,360152775.5151
1618272000000.0,2021-04-13 00:00:00,BTC/USD,59819.0,63792.0,59788.0,63587.0,6023.979174257316,383046763.7535
1618185600000.0,2021-04-12 00:00:00,BTC/USD,59983.0,61274.0,59362.0,59819.0,4303.519022163527,257432204.3868
1618099200000.0,2021-04-11 00:00:00,BTC/USD,59772.0,60684.0,59150.0,59983.0,2444.160925747295,146608104.8091
1618012800000.0,2021-04-10 00:00:00,BTC/USD,58111.0,61288.0,57846.0,59772.0,6375.068716611457,381050607.3293
1617926400000.0,2021-04-09 00:00:00,BTC/USD,58092.0,58901.0,57655.0,58106.0,3535.1002803256115,205410536.8886
1617840000000.0,2021-04-08 00:00:00,BTC/USD,55926.0,58173.0,55666.0,58092.0,3233.3457235230326,187831519.7709
1617753600000.0,2021-04-07 00:00:00,BTC/USD,58008.0,58640.0,55421.0,55926.0,6150.68935493867,343983452.8643
1617667200000.0,2021-04-06 00:00:00,BTC/USD,59157.0,59509.0,57370.0,58008.0,4334.9292205161355,251460574.2237
1617580800000.0,2021-04-05 00:00:00,BTC/USD,58211.0,59308.0,56786.0,59157.0,3960.1834599438785,234272572.9399
1617494400000.0,2021-04-04 00:00:00,BTC/USD,57071.0,58514.0,56450.0,58211.0,2837.837904150418,165193382.2385
1617408000000.0,2021-04-03 00:00:00,BTC/USD,58960.0,59796.0,56899.0,57061.0,3891.6169550270765,222059555.0708
1617321600000.0,2021-04-02 00:00:00,BTC/USD,58721.0,60187.0,58428.0,58960.0,3288.84941786635,193910561.6774
1617235200000.0,2021-04-01 00:00:00,BTC/USD,58790.0,59517.0,57917.0,58721.0,4684.875377772858,275100567.0582
1617148800000.0,2021-03-31 00:00:00,BTC/USD,58775.0,59844.0,56800.0,58790.0,5682.250774844361,334059523.0531
1617062400000.0,2021-03-30 00:00:00,BTC/USD,57642.0,59401.0,57032.0,58775.0,5125.583240758826,301256154.9756
1616976000000.0,2021-03-29 00:00:00,BTC/USD,55775.0,58450.0,54885.0,57642.0,5883.4149582943,339131805.026
1616889600000.0,2021-03-28 00:00:00,BTC/USD,55844.0,56565.0,54680.0,55775.0,2762.4047676969967,154073125.9183
1616803200000.0,2021-03-27 00:00:00,BTC/USD,55063.0,56632.0,53944.0,55844.0,2503.364700950863,139797898.3599
1616716800000.0,2021-03-26 00:00:00,BTC/USD,51303.0,55112.0,51241.0,55063.0,4197.000482928645,231099437.5915
1616630400000.0,2021-03-25 00:00:00,BTC/USD,52258.0,53222.0,50414.0,51303.0,7457.640430345205,382599326.998
1616544000000.0,2021-03-24 00:00:00,BTC/USD,54351.0,57200.0,50061.0,52258.0,5477.962273175399,286267352.4716
1616457600000.0,2021-03-23 00:00:00,BTC/USD,54093.0,55862.0,52948.0,54351.0,4917.37200702655,267264085.9539
1616371200000.0,2021-03-22 00:00:00,BTC/USD,57361.0,58430.0,53655.0,54093.0,5441.964325877655,294372176.2797
1616284800000.0,2021-03-21 00:00:00,BTC/USD,58101.0,58639.0,55504.0,57351.0,4605.679593391571,264140330.3606
1616198400000.0,2021-03-20 00:00:00,BTC/USD,58043.0,59913.0,57828.0,58101.0,3275.8207553036955,190328461.7039
1616112000000.0,2021-03-19 00:00:00,BTC/USD,57623.0,59475.0,56248.0,58043.0,4273.309023646262,248035675.6595
1616025600000.0,2021-03-18 00:00:00,BTC/USD,58943.0,60125.0,57000.0,57623.0,4733.793933203756,272775407.813
1615939200000.0,2021-03-17 00:00:00,BTC/USD,56932.0,59000.0,54062.0,58925.0,5235.707475876114,308514063.016
1615852800000.0,2021-03-16 00:00:00,BTC/USD,55600.0,56945.0,53262.0,56931.0,4763.247067381567,271176418.7931
1615766400000.0,2021-03-15 00:00:00,BTC/USD,58970.0,60622.0,54651.0,55600.0,5855.722092960432,325578148.3686
1615680000000.0,2021-03-14 00:00:00,BTC/USD,61186.0,61678.0,58963.0,58970.0,2530.883700069527,149246211.7931
1615593600000.0,2021-03-13 00:00:00,BTC/USD,57242.0,61806.0,56016.0,61186.0,4019.3584873435098,245928468.4066
1615507200000.0,2021-03-12 00:00:00,BTC/USD,57812.0,58109.0,55042.0,57242.0,4646.195301446491,265957511.4454
1615420800000.0,2021-03-11 00:00:00,BTC/USD,55854.0,58174.0,54269.0,57821.0,6769.83210827381,391438462.3325
1615334400000.0,2021-03-10 00:00:00,BTC/USD,54889.0,57447.0,53037.0,55854.0,8006.741441721273,447208536.4859
1615248000000.0,2021-03-09 00:00:00,BTC/USD,52408.0,54931.0,51850.0,54889.0,5804.2874098544335,318591531.6395
1615161600000.0,2021-03-08 00:00:00,BTC/USD,51000.0,52430.0,49308.0,52408.0,5575.993864743933,292226686.4635
1615075200000.0,2021-03-07 00:00:00,BTC/USD,48913.0,51475.0,48913.0,51000.0,4084.9914760313723,208334565.2776
1614988800000.0,2021-03-06 00:00:00,BTC/USD,48751.0,49224.0,47040.0,48913.0,3680.1537200498847,180007358.9088
1614902400000.0,2021-03-05 00:00:00,BTC/USD,48362.0,49478.0,46281.0,48751.0,5021.572322904145,244806672.3139
1614816000000.0,2021-03-04 00:00:00,BTC/USD,50368.0,51808.0,47466.0,48362.0,4966.566840688971,240193105.5494
1614729600000.0,2021-03-03 00:00:00,BTC/USD,48480.0,52661.0,48159.0,50368.0,5322.001331281766,268058563.054
1614643200000.0,2021-03-02 00:00:00,BTC/USD,49631.0,50250.0,47046.0,48473.0,5800.4316111938615,281164321.4894
1614556800000.0,2021-03-01 00:00:00,BTC/USD,45231.0,49832.0,45043.0,49631.0,6239.813392704157,309688178.4933
1614470400000.0,2021-02-28 00:00:00,BTC/USD,46160.0,46666.0,43002.0,45231.0,7028.841352926091,317921523.2342
1614384000000.0,2021-02-27 00:00:00,BTC/USD,46291.0,48387.0,45028.0,46160.0,3964.353889521231,182994575.5403
1614297600000.0,2021-02-26 00:00:00,BTC/USD,47086.0,48469.0,44102.0,46291.0,6970.817027314164,322686091.0114
1614211200000.0,2021-02-25 00:00:00,BTC/USD,49710.0,52302.0,46679.0,47086.0,5921.649713093064,278826798.3907
1614124800000.0,2021-02-24 00:00:00,BTC/USD,48903.0,51382.0,46759.0,49710.0,5604.801101134581,278614662.7374
1614038400000.0,2021-02-23 00:00:00,BTC/USD,54075.0,54184.0,44851.0,48903.0,10630.784851043903,519877271.5706
1613952000000.0,2021-02-22 00:00:00,BTC/USD,57483.0,57559.0,47500.0,54075.0,8252.682232175683,446263791.7049
1613865600000.0,2021-02-21 00:00:00,BTC/USD,55899.0,58366.0,55502.0,57483.0,3405.982851347355,195786112.244
1613779200000.0,2021-02-20 00:00:00,BTC/USD,55937.0,57592.0,54000.0,55899.0,4506.33873168393,251899828.7624
1613692800000.0,2021-02-19 00:00:00,BTC/USD,51553.0,56416.0,50735.0,55937.0,4609.316115199242,257831315.5359
1613606400000.0,2021-02-18 00:00:00,BTC/USD,52138.0,52568.0,50874.0,51553.0,2566.2155593719085,132296110.7323
1613520000000.0,2021-02-17 00:00:00,BTC/USD,49146.0,52642.0,48945.0,52138.0,4404.097875110284,229620855.0125
1613433600000.0,2021-02-16 00:00:00,BTC/USD,47910.0,50666.0,47033.0,49152.0,5008.107350789388,246158492.506
1613347200000.0,2021-02-15 00:00:00,BTC/USD,48650.0,49044.0,45646.0,47910.0,3618.415119670215,173358268.3834
1613260800000.0,2021-02-14 00:00:00,BTC/USD,47215.0,49748.0,47071.0,48650.0,3425.9120210051387,166670619.8219
