date,symbol,open,high,low,close,Volume BTC,Volume USD
2021-04-20,BTC/USD,55686.0,55830.0,54742.0,54796.0,192.46919706000443,10546542.1221
2021-04-19,BTC/USD,56239.0,57607.0,54249.0,55686.0,5715.385599870704,318266962.5144
2021-04-18,BTC/USD,60051.0,60393.0,49880.0,56239.0,12996.806665915115,730927410.0844
2021-04-17,BTC/USD,61411.0,62575.0,59636.0,60051.0,3228.8483319944708,193895571.1846
2021-04-16,BTC/USD,63233.0,63592.0,60022.0,61411.0,6497.242754571656,399002174.801
2021-04-15,BTC/USD,62959.0,63865.0,62013.0,63233.0,3790.5349827985383,239686898.5673
2021-04-14,BTC/USD,63587.0,64887.0,61263.0,62959.0,5720.433544292318,360152775.5151
2021-04-13,BTC/USD,59819.0,63792.0,59788.0,63587.0,6023.979174257316,383046763.7535
2021-04-12,BTC/USD,59983.0,61274.0,59362.0,59819.0,4303.519022163528,257432204.3868
2021-04-11,BTC/USD,59772.0,60684.0,59150.0,59983.0,2444.160925747295,146608104.8091
2021-04-10,BTC/USD,58111.0,61288.0,57846.0,59772.0,6375.068716611458,381050607.3293
2021-04-09,BTC/USD,58092.0,58901.0,57655.0,58106.0,3535.1002803256115,205410536.8886
2021-04-08,BTC/USD,55926.0,58173.0,55666.0,58092.0,3233.345723523033,187831519.7709
2021-04-07,BTC/USD,58008.0,58640.0,55421.0,55926.0,6150.6893549386705,343983452.8643
2021-04-06,BTC/USD,59157.0,59509.0,57370.0,58008.0,4334.9292205161355,251460574.2237
2021-04-05,BTC/USD,58211.0,59308.0,56786.0,59157.0,3960.183459943879,234272572.9399
2021-04-04,BTC/USD,57071.0,58514.0,56450.0,58211.0,2837.837904150418,165193382.2385
2021-04-03,BTC/USD,58960.0,59796.0,56899.0,57061.0,3891.616955027077,222059555.0708
2021-04-02,BTC/USD,58721.0,60187.0,58428.0,58960.0,3288.84941786635,193910561.6774
2021-04-01,BTC/USD,58790.0,59517.0,57917.0,58721.0,4684.875377772858,275100567.0582
2021-03-31,BTC/USD,58775.0,59844.0,56800.0,58790.0,5682.250774844361,334059523.0531
2021-03-30,BTC/USD,57642.0,59401.0,57032.0,58775.0,5125.583240758826,301256154.9756
2021-03-29,BTC/USD,55775.0,58450.0,54885.0,57642.0,5883.414958294301,339131805.02599996
2021-03-28,BTC/USD,55844.0,56565.0,54680.0,55775.0,2762.404767696997,154073125.9183
2021-03-27,BTC/USD,55063.0,56632.0,53944.0,55844.0,2503.364700950863,139797898.3599
2021-03-26,BTC/USD,51303.0,55112.0,51241.0,55063.0,4197.000482928645,231099437.5915
2021-03-25,BTC/USD,52258.0,53222.0,50414.0,51303.0,7457.6404303452055,382599326.998
2021-03-24,BTC/USD,54351.0,57200.0,50061.0,52258.0,5477.962273175399,286267352.4716
2021-03-23,BTC/USD,54093.0,55862.0,52948.0,54351.0,4917.37200702655,267264085.9539
2021-03-22,BTC/USD,57361.0,58430.0,53655.0,54093.0,5441.964325877655,294372176.2797
2021-03-21,BTC/USD,58101.0,58639.0,55504.0,57351.0,4605.679593391571,264140330.3606
2021-03-20,BTC/USD,58043.0,59913.0,57828.0,58101.0,3275.8207553036955,190328461.7039
2021-03-19,BTC/USD,57623.0,59475.0,56248.0,58043.0,4273.309023646262,248035675.6595
2021-03-18,BTC/USD,58943.0,60125.0,57000.0,57623.0,4733.793933203756,272775407.81299996
2021-03-17,BTC/USD,56932.0,59000.0,54062.0,58925.0,5235.707475876114,308514063.016
2021-03-16,BTC/USD,55600.0,56945.0,53262.0,56931.0,4763.247067381567,271176418.7931
2021-03-15,BTC/USD,58970.0,60622.0,54651.0,55600.0,5855.722092960432,325578148.3686
2021-03-14,BTC/USD,61186.0,61678.0,58963.0,58970.0,2530.883700069527,149246211.7931
2021-03-13,BTC/USD,57242.0,61806.0,56016.0,61186.0,4019.3584873435093,245928468.4066
2021-03-12,BTC/USD,57812.0,58109.0,55042.0,57242.0,4646.195301446491,265957511.4454
2021-03-11,BTC/USD,55854.0,58174.0,54269.0,57821.0,6769.83210827381,391438462.3325
